salario,exp,educ,homem
3.3333333333333335,5,5,1
6,10,12,1
146.66666666666666,16,12,1
53.333333333333336,18,12,1
133.33333333333334,20,14,0
106.66666666666667,30,12,0
60,45,12,0
72.22222005208333,8,9,1
146.66666666666666,20,12,1
113.33333333333333,10,12,0
100,16,7,1
133.33333333333334,40,9,0
106.66666666666667,8,9,0
100,9,9,0
93.33333333333333,20,6,0
100,24,7,0
44.666666666666664,12,12,0
66.66666666666667,14,8,1
166.66666666666666,16,14,0
13.333333333333334,8,12,0
66.66666666666667,20,13,0
66.66666666666667,24,12,1
53.333333333333336,4,5,1
40,2,8,1
40,6,12,1
66.66666666666667,20,10,1
66.66666666666667,20,12,0
266.6666666666667,49,12,0
140,20,11,0
42.666666666666664,9,7,0
200,50,9,0
66.66666666666667,20,14,0
200,42,14,0
266.6666666666667,48,7,1
13.333333333333334,24,12,1
146.66666666666666,18,12,1
183.33333333333334,12,15,0
200,32,12,0
200,32,7,0
133.33333333333334,45,4,1
33.333333333333336,12,12,0
53.333333333333336,7,12,1
200,40,12,1
33.333333333333336,12,12,0
80,43,12,1
166.66666666666666,30,7,1
43.333333333333336,6,3,1
133.33333333333334,16,12,1
200,25,9,1
133.33333333333334,40,11,0
180,40,18,0
133.33333333333334,40,15,0
133.33333333333334,50,12,0
133.33333333333334,50,9,1
120,24,15,0
200,32,7,0
336.6666666666667,28,8,0
3.3333333333333335,5,12,1
166.66666666666666,15,7,0
100,13,12,1
340,40,12,1
266.6666666666667,30,12,0
200,40,5,0
3.3333333333333335,37,7,1
233.33333333333334,36,10,0
200,24,12,1
53.333333333333336,4,10,0
80.66666666666667,10,7,0
366.6666666666667,40,9,0
200,36,12,1
333.3333333333333,48,7,0
333.3333333333333,40,12,0
133.33333333333334,33,7,0
133.33333333333334,21,14,0
146.66666666666666,24,12,0
80,5,12,0
50,16,7,0
133.33333333333334,12,10,1
166.66666666666666,12,7,0
53.333333333333336,42,14,1
300,8,8,1
200,48,12,0
186.66666666666666,22,12,0
266.6666666666667,18,7,0
466.6666666666667,24,14,1
160,36,7,0
133.33333333333334,36,12,1
133.33333333333334,36,11,0
333.3333333333333,48,7,0
144.66666666666666,50,12,1
333.3333333333333,40,8,1
333.3333333333333,35,10,1
226.66666666666666,40,11,0
200,42,10,0
166.66666666666666,25,12,0
192,36,12,0
320,48,7,0
320,48,7,1
20,20,7,1
226.66666666666666,42,12,0
293.3333333333333,40,12,1
40,28,9,0
40,28,1,1
233.33333333333334,40,7,0
33.333333333333336,15,7,1
33.333333333333336,18,7,0
233.33333333333334,15,8,1
60,6,12,1
133.33333333333334,12,8,0
200,45,7,1
522.2222395833334,50,7,0
60,2,13,1
140,12,12,0
333.3333333333333,36,16,0
266.6666666666667,27,6,0
53.333333333333336,12,14,1
146.66666666666666,8,11,1
146.66666666666666,8,12,0
40,40,12,1
40,5,15,0
166.66666666666666,32,12,1
120,6,12,1
153.33333333333334,12,12,1
80,45,7,1
3.3333333333333335,24,11,1
420,49,10,1
260,31,12,1
133.33333333333334,16,11,1
400,40,6,1
146.66666666666666,24,12,0
433.3333333333333,32,12,0
200,26,7,0
133.33333333333334,32,12,1
153.33333333333334,4,9,0
186.66666666666666,50,12,1
80,8,11,0
146.66666666666666,15,10,0
66.66666666666667,23,12,0
160,16,10,0
186.66666666666666,8,12,0
166.66666666666666,40,7,1
120,24,7,1
100,40,10,1
33.333333333333336,16,7,0
113.33333333333333,13,10,0
233.33333333333334,8,17,1
173.33333333333334,40,8,0
193.33333333333334,10,7,0
340,31,12,1
100,8,12,1
200,40,12,0
573.3333333333334,24,12,0
53.333333333333336,4,11,1
80,45,7,0
33.333333333333336,6,11,0
200,35,10,1
200,10,11,0
40,8,10,0
186.66666666666666,16,7,1
166.66666666666666,45,10,0
100,30,7,0
133.33333333333334,18,7,0
320,40,7,0
100,40,12,1
166.66666666666666,20,12,1
140,24,12,0
26.666666666666668,10,12,1
186.66666666666666,11,7,1
293.3333333333333,45,9,0
333.3333333333333,32,7,1
426.6666666666667,50,12,1
213.33333333333334,16,12,0
193.33333333333334,40,15,1
373.3333333333333,45,12,1
300,24,17,1
100,14,3,0
266.6666666666667,38,12,1
433.3333333333333,40,12,1
466.6666666666667,47,17,1
66.66666666666667,21,7,1
333.3333333333333,48,9,0
146.66666666666666,15,11,0
133.33333333333334,18,4,1
500,40,12,1
250,24,4,1
333.3333333333333,30,7,1
166.66666666666666,24,12,0
466.6666666666667,47,12,1
466.6666666666667,40,12,0
466.6666666666667,40,7,1
333.3333333333333,24,9,1
433.3333333333333,40,12,0
153.33333333333334,5,11,1
186.66666666666666,42,14,1
200,16,12,1
33.333333333333336,25,12,1
266.6666666666667,24,10,0
149.33333333333334,42,8,0
66.66666666666667,48,12,0
133.33333333333334,48,7,0
166.66666666666666,12,7,0
333.3333333333333,48,7,0
133.33333333333334,30,12,0
533.3333333333334,40,9,0
266.6666666666667,35,12,0
133.33333333333334,9,11,1
400,30,12,1
333.3333333333333,40,10,0
100,3,1,1
66.66666666666667,5,12,1
433.3333333333333,40,12,1
266.6666666666667,20,12,0
80,8,12,0
133.33333333333334,36,4,0
146.66666666666666,8,9,1
133.33333333333334,20,7,1
66.66666666666667,49,10,1
200,30,11,1
213.33333333333334,15,12,1
200,40,12,1
352,40,11,1
133.33333333333334,20,7,1
226.66666666666666,30,7,0
20,3,10,1
200,40,12,1
53.333333333333336,14,10,0
333.3333333333333,40,15,0
133.33333333333334,14,15,0
293.3333333333333,32,7,1
580,48,7,0
400,50,7,1
18.666666666666668,8,7,1
133.33333333333334,17,11,0
100,17,8,1
33.333333333333336,21,7,1
200,30,9,1
266.6666666666667,40,9,1
100,3,10,0
186.66666666666666,11,6,0
400,40,9,1
133.33333333333334,10,8,1
206,15,9,1
600,40,9,0
346.6666666666667,16,12,0
100,6,12,0
333.3333333333333,28,12,1
400,40,7,0
133.33333333333334,20,12,0
333.3333333333333,30,7,0
80,20,12,0
200,40,12,0
100,40,9,0
100,40,13,0
186.66666666666666,40,17,1
33.333333333333336,4,12,0
333.3333333333333,8,4,1
353.3333333333333,6,10,0
533.3333333333334,45,7,1
346.6666666666667,32,7,1
200,15,12,1
153.33333333333334,12,9,0
46.666666666666664,30,5,1
316.6666666666667,48,12,0
166.66666666666666,24,12,0
433.3333333333333,32,12,1
266.6666666666667,30,12,1
400,24,12,1
180,50,11,1
163.33333333333334,9,15,1
166.66666666666666,24,9,1
100,24,12,0
333.3333333333333,44,12,1
333.3333333333333,30,15,1
356.6666666666667,40,12,1
64,16,7,1
293.3333333333333,48,7,1
266.6666666666667,20,16,0
80,8,12,0
100,21,3,1
133.33333333333334,6,10,1
400,45,7,1
233.33333333333334,15,12,0
80,12,14,1
100,22,9,0
566.6666666666666,40,12,0
146.66666666666666,7,9,0
366.6666666666667,45,12,1
366.6666666666667,48,10,1
480,40,9,1
400,45,12,1
333.3333333333333,24,10,0
266.6666666666667,40,8,0
446.6666666666667,30,12,0
186.66666666666666,35,7,0
170,27,11,0
400,25,8,0
533.3333333333334,40,15,1
266.6666666666667,46,12,0
200,17,11,1
400,40,12,0
53.333333333333336,15,12,1
200,12,9,1
720,47,7,0
200,31,7,1
200,30,10,0
26.666666666666668,3,9,0
312.444453125,36,11,1
106.66666666666667,6,12,0
106.66666666666667,3,9,1
800,45,12,1
380,48,7,1
100,20,14,0
433.3333333333333,48,12,0
400,40,12,1
466.6666666666667,48,12,1
173.33333333333334,4,9,1
600,30,7,0
240,30,12,1
480,36,7,1
266.6666666666667,48,9,1
266.6666666666667,48,9,0
200,12,16,0
10.666666666666666,12,5,1
160,49,9,1
400,32,9,0
146.66666666666666,8,12,1
333.3333333333333,30,12,1
533.3333333333334,40,7,0
333.3333333333333,35,7,1
513.3333333333334,40,19,0
166.66666666666666,40,7,0
158,20,11,1
158,20,12,0
566.6666666666666,42,10,0
160,12,12,1
133.33333333333334,12,12,0
430.655546875,36,14,1
266.6666666666667,40,2,1
293.3333333333333,45,7,0
666.6666666666666,12,12,1
666.6666666666666,48,9,0
293.3333333333333,40,10,0
366.6666666666667,48,13,0
420,45,7,0
400,20,11,1
800,44,9,0
800,44,8,0
650,40,12,1
133.33333333333334,48,4,0
133.33333333333334,4,11,0
133.33333333333334,12,7,0
266.6666666666667,18,11,1
266.6666666666667,18,11,1
166.66666666666666,11,9,0
280,27,7,1
306.6666666666667,20,14,1
133.33333333333334,24,14,0
480,24,7,1
666.6666666666666,40,11,1
166.66666666666666,4,11,0
213.33333333333334,10,7,1
20,40,15,1
33.333333333333336,46,12,1
166.66666666666666,40,7,1
400,45,15,0
133.33333333333334,14,10,1
200,42,0,1
666.6666666666666,48,11,0
600,40,7,0
366.6666666666667,40,12,1
85.33333333333333,8,12,1
266.6666666666667,32,12,1
400,40,12,1
466.6666666666667,45,9,1
90,12,9,0
333.3333333333333,42,11,0
53.333333333333336,20,12,1
66.66666666666667,2,15,1
400,40,12,1
586.6666666666666,48,16,0
180,30,12,1
633.3333333333334,43,9,1
233.33333333333334,23,9,0
93.33333333333333,4,12,1
466.6666666666667,45,12,0
120,12,13,0
286.6666666666667,25,9,0
800,30,14,1
100,12,14,1
200,9,17,0
400,40,12,1
300,40,7,1
233.33333333333334,40,7,0
20,5,7,1
200,30,9,0
666.6666666666666,40,12,0
333.3333333333333,40,10,0
266.6666666666667,45,7,1
400,47,17,0
466.6666666666667,40,2,0
93.33333333333333,18,4,1
200,12,7,1
666.6666666666666,40,7,1
333.3333333333333,45,9,1
333.3333333333333,20,16,0
200,35,8,1
106.66666666666667,4,7,0
326.6666666666667,18,7,1
80,6,8,1
533.3333333333334,40,12,1
533.3333333333334,40,12,1
146.66666666666666,4,11,1
400,7,7,1
233.33333333333334,50,7,0
400,36,12,0
666.6666666666666,45,7,1
66.66666666666667,6,7,0
200,24,8,0
266.6666666666667,16,17,0
200,31,8,0
124,14,9,0
133.33333333333334,20,12,0
266.6666666666667,40,11,1
586.6666666666666,44,15,1
233.33333333333334,48,12,1
400,6,9,1
266.6666666666667,40,11,1
453.3333333333333,13,15,0
200,48,12,0
133.33333333333334,48,12,0
100,15,12,0
666.6666666666666,41,10,1
133.33333333333334,45,6,1
666.6666666666666,48,3,0
40,25,12,1
333.3333333333333,45,8,0
580,40,15,1
66.66666666666667,8,12,0
453.3333333333333,35,12,1
160,10,12,0
266.6666666666667,15,12,1
93.33333333333333,8,14,0
400,40,12,0
266.6666666666667,30,12,0
20,40,11,0
313.3333333333333,4,12,0
533.3333333333334,40,7,1
300,24,9,1
166.66666666666666,5,8,1
26.666666666666668,3,12,1
600,30,7,0
66.66666666666667,24,12,0
233.33333333333334,12,7,1
233.33333333333334,20,15,0
380,35,7,1
533.3333333333334,40,12,1
233.33333333333334,45,12,1
146.66666666666666,20,12,1
500,45,12,0
160,6,8,0
